time,flux
0.00,1.0009
0.02,1.0011
0.04,1.0001
0.06,0.9990
0.08,0.9999
0.10,1.0004
0.12,1.0012
0.14,1.0006
0.16,1.0008
0.18,1.0003
0.20,1.0009
0.22,1.0002
0.24,1.0005
0.26,1.0011
0.28,1.0007
0.30,1.0003
0.32,1.0008
0.34,1.0000
0.36,1.0004
0.38,1.0006
0.40,1.0005
0.42,1.0008
0.44,1.0006
0.46,1.0007
0.48,1.0001
0.50,0.9912
0.52,0.9909
0.54,0.9898
0.56,0.9906
0.58,0.9908
0.60,0.9915
0.62,0.9920
0.64,0.9931
0.66,0.9942
0.68,0.9953
0.70,0.9961
0.72,0.9968
0.74,0.9976
0.76,0.9984
0.78,0.9992
0.80,0.9999
0.82,1.0003
0.84,1.0009
0.86,1.0011
0.88,1.0006
0.90,1.0005
0.92,1.0000
0.94,1.0002
0.96,1.0008
0.98,1.0003
1.00,1.0009
1.02,1.0004
1.04,1.0012
1.06,1.0007
1.08,1.0009
1.10,1.0002
1.12,1.0006
1.14,1.0008
1.16,1.0005
1.18,1.0007
1.20,1.0004
1.22,1.0009
1.24,1.0006
1.26,1.0003
1.28,1.0008
1.30,1.0001
1.32,1.0005
1.34,1.0007
1.36,1.0006
1.38,1.0009
1.40,1.0007
1.42,1.0008
1.44,1.0002
1.46,1.0005
1.48,1.0009
1.50,0.9910
1.52,0.9907
1.54,0.9896
1.56,0.9904
1.58,0.9907
1.60,0.9912
1.62,0.9921
1.64,0.9933
1.66,0.9944
1.68,0.9955
1.70,0.9962
1.72,0.9970
1.74,0.9977
1.76,0.9986
1.78,0.9992
1.80,0.9998
1.82,1.0002
1.84,1.0008
1.86,1.0010
1.88,1.0005
1.90,1.0004
1.92,0.9999
1.94,1.0001
1.96,1.0007
1.98,1.0002
2.00,1.0008
2.02,1.0003
2.04,1.0011
2.06,1.0006
2.08,1.0008
2.10,1.0001
2.12,1.0005
2.14,1.0007
2.16,1.0004
2.18,1.0006
2.20,1.0003
2.22,1.0008
2.24,1.0005
2.26,1.0002
2.28,1.0007
2.30,1.0000
2.32,1.0004
2.34,1.0006
2.36,1.0005
2.38,1.0008
2.40,1.0006
2.42,1.0007
2.44,1.0001
2.46,1.0004
2.48,1.0008
2.50,0.9911
2.52,0.9908
2.54,0.9897
2.56,0.9905
2.58,0.9908
2.60,0.9913
2.62,0.9922
2.64,0.9934
2.66,0.9945
2.68,0.9956
2.70,0.9963
2.72,0.9971
2.74,0.9978
2.76,0.9987
2.78,0.9993
2.80,0.9999
2.82,1.0003
2.84,1.0009
2.86,1.0011
2.88,1.0006
2.90,1.0005
2.92,1.0000
2.94,1.0002
2.96,1.0008
2.98,1.0003
3.00,1.0009
3.02,1.0004
3.04,1.0012
3.06,1.0007
3.08,1.0009
3.10,1.0002
3.12,1.0006
3.14,1.0008
3.16,1.0005
3.18,1.0007
3.20,1.0004
3.22,1.0009
3.24,1.0006
3.26,1.0003
3.28,1.0008
3.30,1.0001
3.32,1.0005
3.34,1.0007
3.36,1.0006
3.38,1.0009
3.40,1.0007
3.42,1.0008
3.44,1.0002
3.46,1.0005
3.48,1.0009
3.50,0.9910
3.52,0.9907
3.54,0.9896
3.56,0.9904
3.58,0.9907
3.60,0.9912
3.62,0.9921
3.64,0.9933
3.66,0.9944
3.68,0.9955
3.70,0.9962
3.72,0.9970
3.74,0.9977
3.76,0.9986
3.78,0.9992
3.80,0.9998
3.82,1.0002
3.84,1.0008
3.86,1.0010
3.88,1.0005
3.90,1.0004
3.92,0.9999
3.94,1.0001
3.96,1.0007
3.98,1.0002
4.00,1.0008
4.02,1.0003
4.04,1.0011
4.06,1.0006
4.08,1.0008
4.10,1.0001
4.12,1.0005
4.14,1.0007
4.16,1.0004
4.18,1.0006
4.20,1.0003
4.22,1.0008
4.24,1.0005
4.26,1.0002
4.28,1.0007
4.30,1.0000
4.32,1.0004
4.34,1.0006
4.36,1.0005
4.38,1.0008
4.40,1.0006
4.42,1.0007
4.44,1.0001
4.46,1.0004
4.48,1.0008
4.50,0.9911

