time,flux
0.00,1.0007
0.02,1.0006
0.04,1.0009
0.06,1.0005
0.08,1.0008
0.10,1.0007
0.12,1.0006
0.14,1.0008
0.16,1.0007
0.18,1.0005
0.20,1.0009
0.22,1.0006
0.24,1.0008
0.26,1.0007
0.28,1.0006
0.30,1.0009
0.32,1.0006
0.34,1.0007
0.36,1.0008
0.38,1.0006
0.40,1.0009
0.42,1.0007
0.44,1.0006
0.46,1.0008
0.48,1.0007
0.50,0.9960
0.52,0.9956
0.54,0.9952
0.56,0.9955
0.58,0.9959
0.60,0.9963
0.62,0.9968
0.64,0.9973
0.66,0.9978
0.68,0.9983
0.70,0.9988
0.72,0.9992
0.74,0.9996
0.76,1.0000
0.78,1.0003
0.80,1.0006
0.82,1.0007
0.84,1.0006
0.86,1.0008
0.88,1.0007
0.90,1.0006
0.92,1.0009
0.94,1.0006
0.96,1.0008
0.98,1.0007
1.00,0.9961
1.02,0.9957
1.04,0.9953
1.06,0.9956
1.08,0.9960
1.10,0.9964
1.12,0.9969
1.14,0.9974
1.16,0.9979
1.18,0.9984

