time,flux
0.0,1.0008
0.05,1.0006
0.1,1.0009
0.15,1.0007
0.2,1.0008
0.25,1.0006
0.3,1.0007
0.35,1.0008
0.4,1.0007
0.45,1.0006
0.5,0.9908
0.55,0.9903
0.6,0.9897
0.65,0.9902
0.7,0.991
0.75,0.992
0.8,0.9932
0.85,0.9943
0.9,0.9954
0.95,0.9961
1.0,0.9969
1.05,0.9976
1.1,0.9983
1.15,0.999
1.2,0.9996
1.25,1.0
1.3,1.0004
1.35,1.0007
1.4,1.0009
1.45,1.0006
1.5,0.991
1.55,0.9904
1.6,0.9898
1.65,0.9903
1.7,0.9911
1.75,0.9921
1.8,0.9933
1.85,0.9944
1.9,0.9955
1.95,0.9962
2.0,0.997
2.05,0.9977
2.1,0.9984
2.15,0.9991
2.2,0.9997
2.25,1.0001
2.3,1.0005
2.35,1.0008
2.4,1.001
2.45,1.0007
2.5,0.9912
2.55,0.9906
2.6,0.99
2.65,0.9905
2.7,0.9913
2.75,0.9922
2.8,0.9934
2.85,0.9945
2.9,0.9956
2.95,0.9963
3.0,0.9971
3.05,0.9978
3.1,0.9985
3.15,0.9992
3.2,0.9998
3.25,1.0002
3.3,1.0006
3.35,1.0009
3.4,1.0011
3.45,1.0008
